id,name,sex,type,party,age
PLA,Platzeck,2,0,3,4
POF,Pofalla,2,0,1,4
PRA,Praetorius,1,0,NA,NA
TIL,Tillich,2,0,1,4
HAS,Hasselfeldt,1,0,2,4
KAM,Kampeter,2,0,1,3
KAP,Kapferer,2,0,6,3
KEM,Kempf,2,0,NA,4
NEM,Nemat,1,0,NA,3
REI,Reiche,1,0,1,2
ROE,Röstel,1,0,4,3
SCHW,Schweitzer,2,0,6,3
GRO,Grothus,1,0,NA,NA
WOD,Wodtke,1,0,1,NA
HER,Herntier,1,0,NA,4
KRE,Kreuzberg,2,0,1,4
PRI,Priggen,2,0,4,4
VAS,Vassiliadis,2,0,NA,3
SCHE,Scheidt,2,0,3,3
KOE,Körzel,2,0,3,3
KAI,Kiaser,2,0,NA,3
WEI,Weiger,2,0,NA,4
NIE,Niebert,2,0,NA,1
SCHO,Schönefeld (ehemals Allmendinger),1,0,NA,4
MAT,Matthes,2,0,NA,3
SCHL,Schellnhuber,2,0,NA,4
NIEB,Niebuhr,1,0,NA,NA
WEH,Wehrsporn,2,0,NA,2
LAE,Lämmel,2,0,1,3
LEN,Lenz,2,0,2,1
MIE,Miersch,2,0,3,2
POL,Politik,NA,1,NA,NA
VER,Verband,NA,1,NA,NA
GEW,Gewerkschaft,NA,1,NA,NA
UMW,Umweltschutz,NA,1,NA,NA
IND,Industrie,NA,1,NA,NA
WIS,Wissenschaft,NA,1,NA,NA
REG,Regionalvertreter,NA,1,NA,NA
CDU,Christlich Demokratische Union De,NA,1,1,NA
CSU,Christlich-Soziale Union in Ba,NA,1,2,NA
SPD,Sozialdemokratische Partei De,NA,1,3,NA
GRU,Bündnis 90/ Die Grünen,NA,1,4,NA
FDP,Freie Demokratische Partei,NA,1,6,NA
SOZ,Sozialwesen,NA,1,NA,NA
ENE,Energieunternehmen,NA,1,NA,NA
