from,to,weight
PLA,SPD,1
POF,IND,1
POF,CDU,1
PRA,WIS,2
TIL,CDU,1
HAS,VER,3
HAS,CSU,1
KAM,VER,3
KAM,CDU,1
KAP,VER,3
KAP,FDP,1
KEM,VER,3
NEM,IND,3
REI,VER,3
REI,CDU,1
ROE,VER,3
ROE,CDU,1
SCHW,IND,3
SCHW,ENE,3
GRO,UMW,1
GRO,REG,2
WOD,CDU,1
WOD,UMW,1
WOD,REG,2
HER,REG,3
KRE,REG,3
KRE,CDU,2
PRI,GRU,1
PRI,VER,3
PRI,REG,3
VAS,GEW,3
VAS,SPD,1
SCHE,GEW,2
SCHE,SPD,1
SCHE,ENE,2
KOE,GEW,2
KOE,SPD,1
KAI,UMW,2
WEI,UMW,3
NIE,UMW,3
NIE,WIS,1
SCHO,WIS,3
SCHO,REG,3
MAT,WIS,2
SCHL,WIS,3
NIE,WIS,1
WEH,WIS,2
LAE,CDU,2
LEN,CSU,2
MIE,SPD,2
